,Cross-1,Average accuracy
0,1.0,1.0
1,0.7857142857142857,0.7857
2,0.9285714285714286,0.9286
3,0.8214285714285714,0.8214
4,0.8214285714285714,0.8214
5,0.75,0.75
6,0.9285714285714286,0.9286
7,0.9285714285714286,0.9286
8,0.7857142857142857,0.7857
9,0.9285714285714286,0.9286
10,0.7857142857142857,0.7857
11,0.8571428571428571,0.8571
12,0.8571428571428571,0.8571
13,1.0,1.0
14,0.8214285714285714,0.8214
15,0.9285714285714286,0.9286
16,0.8571428571428571,0.8571
17,0.9642857142857143,0.9643
18,0.9285714285714286,0.9286
19,0.7142857142857143,0.7143
Average accuracy,0.8696428571428572,0.8696400000000001
